vessel	year	ID	dateCollect	species	fishTotalLength_mm	fishWetWeight_g	species_names
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.313	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.313	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.313	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.348	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.069	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.166	7/16/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.174	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.174	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.181	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.324	10/23/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.325	10/23/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.328	10/23/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.328	10/23/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.364	11/4/2013	741	NA	NA	Yellow_Perch
28	2012	28.2012.341	#N/A	741	NA	NA	Yellow_Perch
4	2010	04.2010.185	7/24/2010	741	NA	NA	Yellow_Perch
28	2013	28.2013.319	9/30/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.319	9/30/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.136	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.136	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.136	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.136	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.136	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.136	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.137	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.137	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.137	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.138	7/17/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.138	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.315	9/26/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.315	9/26/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.315	9/26/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.315	9/26/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.316	9/26/2013	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2010	04.2010.056	5/3/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.174	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.174	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.174	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.181	7/17/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.215	7/25/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.324	10/23/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.328	10/23/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.364	11/4/2013	741	NA	NA	Yellow_Perch
4	2010	04.2010.053	5/3/2010	741	NA	NA	Yellow_Perch
28	2013	28.2013.227	8/6/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.228	8/6/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.228	8/6/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.228	8/6/2013	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2012		#N/A	741	NA	NA	Yellow_Perch
4	2010	04.2010.015	4/21/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.015	4/21/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.056	5/3/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.056	5/3/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.108	6/5/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.181	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.191	7/22/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.193	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.233	7/30/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.310	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.313	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.318	10/3/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.354	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.359	10/13/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.367	10/16/2012	741	NA	NA	Yellow_Perch
15	2013	15.2013.026	4/27/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.051	5/8/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.060	5/9/2013	741	NA	NA	Yellow_Perch
15	2013	15.2013.060	5/9/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.062	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.065	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.065	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.065	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.065	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.065	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.065	5/31/2013	741	NA	NA	Yellow_Perch
