#/////////////////////////////////////,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# TITLE: RMBL Warming Experiment Fungal Symbiont Diversity,,,,,,,,,
# DATE: 2017-02-08,,,,,,,,,
# AUTHOR: Melanie R. Kazenel,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# AUTHOR EMAIL: mkazenel@uvm.edu,,,,,,,,,
# AUTHOR ADDRESS: University of Vermont; 109 Carrigan Drive; Marsh Life Science Building; Burlington VT 05405,,,,,,,,,
# AUTHOR WEBSITE: https://github.com/mkazenel ,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# OWNERSHIP: Melanie R. Kazenel ,,,,,,,,,
# COLLABORATORS: Jennifer A. Rudgers;  Stephanie N. Kivlin; D. Lee Taylor,,,,,,,,,
# FUNDING SOURCES: National Science Foundation (grant DEB- 1354972); Rocky Mountain Biological Laboratory (National Science Foundation grants DBI-0753774 and OIA-0963529); University of New Mexico Department of Biology,,,,,,,,,
# REPOSITORY: https://github.com/mkazenel/Bio381,,,,,,,,,
# CITATIONS: NA,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# SAMPLING LOCATIONS: Warming Experiment - Rocky Mountain Biological Laboratory - Gothic CO (38.95806��_N; 106.9894��_W; elev. 2920 m),,,,,,,,,
# SAMPLING TIMES: June sampling occurred on 30 June and 2 July 2014. September sampling occurred on 25-30 September 2014,,,,,,,,,
# VARIABLE DESCRIPTIONS: ,,,,,,,,,
# ID: Unique numerical identifier assigned to each sample,,,,,,,,,
# Sample: Sample name,,,,,,,,,
# Plot: Number of the plot in the RMBL warming experiment from which the sample was collected.,,,,,,,,,
# WarmingTreatment: Warming treatment of each plot. Warmed plots have infrared lamps suspended over them; control plots are unheated.,,,,,,,,,
# HostSpecies: Grass species from which the sample was collected. AL = Achnatherum lettermanii; FT = Festuca thurberi; PP = Poa pratensis.,,,,,,,,,
# TissueType: Grass tissue type of the sample (roots or leaves).,,,,,,,,,
# CollectionDate: Time of year at which the sample was collected (June or September).,,,,,,,,,
# DivShann: Shannon diversity of fungal symbionts in the sample. Calculated from Illumina paired-end sequencing of the ITS2 region.,,,,,,,,,
# Richness: Fungal symbiont richness of the sample (for leaf samples only). Calculated from Illumina paired-end sequencing of the ITS2 region.,,,,,,,,,
# Evenness: Fungal symbiont evenness of the sample (for leaf samples only). Calculated from Illumina paired-end sequencing of the ITS2 region.,,,,,,,,,
# MISSING DATA: One or more lines for each variable describing the source of NA values throughout,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,
#DATE:              #CHANGES:,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,
ID,Sample,Plot,WarmingTreatment,HostSpecies,TissueType,CollectionDate,DivShann,Richness,Evenness
50,ITS8,4,warmed,AL,Lvs,September,2.802641958,165,0.548897745
51,ITS80,10,warmed,AL,Lvs,June,2.88738158,117,0.606315859
52,ITS82,1,control,FT,Lvs,June,2.819195203,127,0.581974881
53,ITS84,2,warmed,FT,Lvs,June,2.321342915,104,0.499816438
54,ITS86,3,control,FT,Lvs,June,3.094879759,222,0.57284186
55,ITS88,4,warmed,FT,Lvs,June,2.426887096,134,0.495501526
56,ITS90,5,control,FT,Lvs,June,3.564906628,133,0.728967715
57,ITS92,6,warmed,FT,Lvs,June,3.507330109,200,0.661970559
58,ITS94,7,control,FT,Lvs,June,3.165889498,158,0.625349149
59,ITS96,8,warmed,FT,Lvs,June,2.839091354,164,0.556699159
60,ITS98,9,control,FT,Lvs,June,3.022644946,125,0.626024967
61,ITS1,1,control,AL,Rts,September,2.911722794,NA,NA
62,ITS101,1,control,PP,Rts,June,1.533254808,NA,NA
63,ITS103,2,warmed,PP,Rts,June,1.214756262,NA,NA
64,ITS105,3,control,PP,Rts,June,0.833871918,NA,NA
65,ITS107,4,warmed,PP,Rts,June,2.785064684,NA,NA
66,ITS109,5,control,PP,Rts,June,2.378923909,NA,NA
67,ITS11,6,warmed,AL,Rts,September,3.336434802,NA,NA
68,ITS111,6,warmed,PP,Rts,June,3.080479954,NA,NA
69,ITS113,7,control,PP,Rts,June,3.243130577,NA,NA
70,ITS115,8,warmed,PP,Rts,June,0.617142332,NA,NA
71,ITS117,9,control,PP,Rts,June,3.151215507,NA,NA
72,ITS119,10,warmed,PP,Rts,June,1.474952774,NA,NA
73,ITS13,7,control,AL,Rts,September,3.124245913,NA,NA
74,ITS15,8,warmed,AL,Rts,September,3.64617878,NA,NA
75,ITS17,9,control,AL,Rts,September,2.060364137,NA,NA
76,ITS19,10,warmed,AL,Rts,September,3.20693132,NA,NA
77,ITS21,1,control,FT,Rts,September,2.164962232,NA,NA
78,ITS23,2,warmed,FT,Rts,September,2.08321165,NA,NA
79,ITS25,3,control,FT,Rts,September,2.262386254,NA,NA
80,ITS27,4,warmed,FT,Rts,September,1.764031481,NA,NA
81,ITS29,5,control,FT,Rts,September,2.083504489,NA,NA
82,ITS3,2,warmed,AL,Rts,September,2.511801355,NA,NA
83,ITS31,6,warmed,FT,Rts,September,2.370740382,NA,NA
84,ITS33,7,control,FT,Rts,September,2.702908643,NA,NA
85,ITS35,8,warmed,FT,Rts,September,3.781164701,NA,NA
86,ITS37,9,control,FT,Rts,September,1.931088303,NA,NA
87,ITS39,10,warmed,FT,Rts,September,1.888902835,NA,NA
88,ITS41,1,control,PP,Rts,September,2.824325258,NA,NA
89,ITS43,2,warmed,PP,Rts,September,0.267869347,NA,NA
90,ITS45,3,control,PP,Rts,September,0.757774679,NA,NA
91,ITS47,4,warmed,PP,Rts,September,3.291874356,NA,NA
92,ITS49,5,control,PP,Rts,September,2.250879065,NA,NA
93,ITS5,3,control,AL,Rts,September,1.655810472,NA,NA
94,ITS51,6,warmed,PP,Rts,September,2.478205214,NA,NA
95,ITS53,7,control,PP,Rts,September,3.326363571,NA,NA
96,ITS55,8,warmed,PP,Rts,September,2.641997713,NA,NA
97,ITS57,9,control,PP,Rts,September,2.180649288,NA,NA
98,ITS59,10,warmed,PP,Rts,September,4.415771676,NA,NA
99,ITS61,1,control,AL,Rts,June,2.516356991,NA,NA
100,ITS63,2,warmed,AL,Rts,June,1.175746773,NA,NA
101,ITS65,3,control,AL,Rts,June,2.49884202,NA,NA
102,ITS67,4,warmed,AL,Rts,June,1.591462038,NA,NA
103,ITS69,5,control,AL,Rts,June,3.463082162,NA,NA
104,ITS7,4,warmed,AL,Rts,September,2.679025325,NA,NA
105,ITS71,6,warmed,AL,Rts,June,3.267285648,NA,NA
106,ITS73,7,control,AL,Rts,June,2.96063833,NA,NA
107,ITS75,8,warmed,AL,Rts,June,3.254464306,NA,NA
108,ITS77,9,control,AL,Rts,June,3.524517599,NA,NA
109,ITS79,10,warmed,AL,Rts,June,2.196670053,NA,NA
110,ITS81,1,control,FT,Rts,June,2.36899196,NA,NA
111,ITS83,2,warmed,FT,Rts,June,3.023224366,NA,NA
112,ITS85,3,control,FT,Rts,June,3.369901965,NA,NA
113,ITS87,4,warmed,FT,Rts,June,3.223321116,NA,NA
114,ITS89,5,control,FT,Rts,June,2.762115983,NA,NA
115,ITS9,5,control,AL,Rts,September,3.092677304,NA,NA
116,ITS91,6,warmed,FT,Rts,June,3.348967572,NA,NA
117,ITS93,7,control,FT,Rts,June,2.033130189,NA,NA
118,ITS95,8,warmed,FT,Rts,June,2.911970076,NA,NA
119,ITS97,9,control,FT,Rts,June,2.710574904,NA,NA
120,ITS99,10,warmed,FT,Rts,June,2.36276907,NA,NA
# ----- END OF DATA -----,,,,,,,,,
